"g";"MANDANTE";"VISITANTE";"h";"a";"y1";"y2"
1;"Internacional";"Vitória";15;20;"1";"0"
2;"Fluminense";"Figueirense";12;10;"3";"0"
3;"Chapecoense";"Coritiba";5;7;"0";"0"
4;"Atlético-MG";"Corinthians";1;6;"0";"0"
5;"São Paulo";"Botafogo";18;4;"3";"0"
6;"Bahia";"Cruzeiro";3;9;"1";"2"
7;"Atlético-PR";"Grêmio";2;14;"1";"0"
8;"Criciúma";"Palmeiras";8;16;"1";"2"
9;"Flamengo";"Goiás";11;13;"0";"0"
10;"Santos";"Sport";17;19;"1";"1"
11;"Coritiba";"Santos";7;17;"0";"0"
12;"Palmeiras";"Fluminense";16;12;"0";"1"
13;"Corinthians";"Flamengo";6;11;"2";"0"
14;"Vitória";"Atlético-PR";20;2;"2";"2"
15;"Botafogo";"Internacional";4;15;"2";"2"
16;"Cruzeiro";"São Paulo";9;18;"1";"1"
17;"Goiás";"Criciúma";13;8;"1";"0"
18;"Sport";"Chapecoense";19;5;"2";"1"
19;"Figueirense";"Bahia";10;3;"0";"2"
20;"Grêmio";"Atlético-MG";14;1;"2";"1"
21;"São Paulo";"Coritiba";18;7;"2";"2"
22;"Atlético-PR";"Cruzeiro";2;9;"2";"3"
23;"Santos";"Grêmio";17;14;"0";"0"
24;"Fluminense";"Vitória";12;20;"1";"2"
25;"Flamengo";"Palmeiras";11;16;"4";"2"
26;"Criciúma";"Figueirense";8;10;"1";"0"
27;"Bahia";"Botafogo";3;4;"1";"0"
28;"Internacional";"Sport";15;19;"2";"1"
29;"Chapecoense";"Corinthians";5;6;"0";"1"
30;"Atlético-MG";"Goiás";1;13;"0";"1"
31;"Palmeiras";"Goiás";16;13;"2";"0"
32;"Internacional";"Atlético-PR";15;2;"2";"1"
33;"Botafogo";"Criciúma";4;8;"6";"0"
34;"Atlético-MG";"Cruzeiro";1;9;"2";"1"
35;"Fluminense";"Flamengo";12;11;"2";"0"
36;"Chapecoense";"Grêmio";5;14;"1";"2"
37;"São Paulo";"Corinthians";18;6;"1";"1"
38;"Bahia";"Vitória";3;20;"1";"1"
39;"Figueirense";"Santos";10;17;"0";"2"
40;"Coritiba";"Sport";7;19;"0";"1"
41;"Goiás";"Botafogo";13;4;"2";"0"
42;"Cruzeiro";"Coritiba";9;7;"3";"2"
43;"Corinthians";"Figueirense";6;10;"0";"1"
44;"Atlético-PR";"Chapecoense";2;5;"1";"1"
45;"Flamengo";"São Paulo";11;18;"0";"2"
46;"Grêmio";"Fluminense";14;12;"1";"0"
