"ano";"jogos";"equipes";"jogos.equipe";"prob.1";"prob.2";"prob.3";"perc.var";"cv";"pch";"retirados";"equipes.retiradas";"perc.var2"
2006;192;12;32;0.479166666666667;0.229166666666667;0.291666666666667;-0.220074992789162;14.7709789175199;18;0;".";-0.220074992789162
2007;195;13;30;0.466666666666667;0.276923076923077;0.256410256410256;0.0728024595683052;23.3668534626082;19;1;"-Toronto FC";-0.104330574098152
2008;210;14;30;0.504761904761905;0.223809523809524;0.271428571428571;-0.0405609201611695;16.7218727242958;18;0;".";-0.0405609201611695
2009;225;15;30;0.475555555555556;0.217777777777778;0.306666666666667;0.0160688507261357;18.9620301311115;18;0;".";0.0160688507261357
2010;240;16;30;0.483333333333333;0.275;0.241666666666667;0.0777721747474899;26.0889150774005;19;1;"-DC United";-0.378871966959215
2011;306;18;34;0.434640522875817;0.218954248366013;0.34640522875817;0.0587129350896314;23.4584947623301;19;1;"+Los Angeles Galaxy";0.0193194955518899
2012;323;19;34;0.51702786377709;0.244582043343653;0.238390092879257;0.0826167962885933;26.2463023850981;19;1;"-Toronto FC";-0.364515094598928
2013;323;19;34;0.504643962848297;0.241486068111455;0.253869969040248;0.0646953341057187;24.4758276352465;19;1;"-DC United";-0.365514708577103
2014;323;19;34;0.48297213622291;0.241486068111455;0.275541795665635;0.0571953413638729;23.7723723827731;19;1;"-Montreal Impact";0.00747310956275346
2015;340;20;34;0.538235294117647;0.25;0.211764705882353;0.00363326509211363;16.7298660915428;18;0;".";0.00363326509211363
