"nome.visitor";"nome.home";"Date";"score_y";"score_x";"data2";"home";"link";"visitor"
"Atlanta Hawks";"Houston Rockets";"Sat, Dec 31, 2011";84;95;201112310;"HOU";"http://www.basketball-reference.com/boxscores/201112310HOU.html";"ATL"
"Atlanta Hawks";"Philadelphia 76ers";"Fri, Jan 20, 2012";76;90;201201200;"PHI";"http://www.basketball-reference.com/boxscores/201201200PHI.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Wed, Jan 11, 2012";84;96;201201110;"IND";"http://www.basketball-reference.com/boxscores/201201110IND.html";"ATL"
"Atlanta Hawks";"Boston Celtics";"Thu, May 10, 2012";80;83;201205100;"BOS";"http://www.basketball-reference.com/boxscores/201205100BOS.html";"ATL"
"Atlanta Hawks";"Los Angeles Clippers";"Wed, Mar 14, 2012";82;96;201203140;"LAC";"http://www.basketball-reference.com/boxscores/201203140LAC.html";"ATL"
"Atlanta Hawks";"Boston Celtics";"Sun, May 6, 2012";79;101;201205060;"BOS";"http://www.basketball-reference.com/boxscores/201205060BOS.html";"ATL"
"Atlanta Hawks";"New York Knicks";"Wed, Feb 22, 2012";82;99;201202220;"NYK";"http://www.basketball-reference.com/boxscores/201202220NYK.html";"ATL"
"Atlanta Hawks";"Boston Celtics";"Wed, Apr 11, 2012";86;88;201204110;"BOS";"http://www.basketball-reference.com/boxscores/201204110BOS.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Tue, Mar 6, 2012";101;96;201203060;"IND";"http://www.basketball-reference.com/boxscores/201203060IND.html";"ATL"
"Atlanta Hawks";"Miami Heat";"Mon, Jan 2, 2012";100;92;201201020;"MIA";"http://www.basketball-reference.com/boxscores/201201020MIA.html";"ATL"
"Atlanta Hawks";"Charlotte Bobcats";"Sat, Apr 7, 2012";116;96;201204070;"CHO";"http://www.basketball-reference.com/boxscores/201204070CHA.html";"ATL"
"Atlanta Hawks";"Milwaukee Bucks";"Mon, Jan 23, 2012";97;92;201201230;"MIL";"http://www.basketball-reference.com/boxscores/201201230MIL.html";"ATL"
"Atlanta Hawks";"New Orleans Hornets";"Sun, Jan 29, 2012";94;72;201201290;"NOP";"http://www.basketball-reference.com/boxscores/201201290NOH.html";"ATL"
"Atlanta Hawks";"Philadelphia 76ers";"Sat, Mar 31, 2012";90;95;201203310;"PHI";"http://www.basketball-reference.com/boxscores/201203310PHI.html";"ATL"
"Atlanta Hawks";"Toronto Raptors";"Tue, Jan 31, 2012";100;77;201201310;"TOR";"http://www.basketball-reference.com/boxscores/201201310TOR.html";"ATL"
"Atlanta Hawks";"Phoenix Suns";"Wed, Feb 15, 2012";101;99;201202150;"PHO";"http://www.basketball-reference.com/boxscores/201202150PHO.html";"ATL"
"Atlanta Hawks";"Chicago Bulls";"Mon, Feb 20, 2012";79;90;201202200;"CHI";"http://www.basketball-reference.com/boxscores/201202200CHI.html";"ATL"
"Atlanta Hawks";"Orlando Magic";"Fri, Feb 10, 2012";89;87;201202100;"ORL";"http://www.basketball-reference.com/boxscores/201202100ORL.html";"ATL"
"Atlanta Hawks";"Boston Celtics";"Fri, May 4, 2012";84;90;201205040;"BOS";"http://www.basketball-reference.com/boxscores/201205040BOS.html";"ATL"
"Atlanta Hawks";"New Jersey Nets";"Tue, Dec 27, 2011";106;70;201112270;"BRK";"http://www.basketball-reference.com/boxscores/201112270NJN.html";"ATL"
"Atlanta Hawks";"Milwaukee Bucks";"Tue, Mar 27, 2012";101;108;201203270;"MIL";"http://www.basketball-reference.com/boxscores/201203270MIL.html";"ATL"
"Atlanta Hawks";"Toronto Raptors";"Mon, Apr 16, 2012";109;87;201204160;"TOR";"http://www.basketball-reference.com/boxscores/201204160TOR.html";"ATL"
"Atlanta Hawks";"Orlando Magic";"Fri, Apr 13, 2012";109;81;201204130;"ORL";"http://www.basketball-reference.com/boxscores/201204130ORL.html";"ATL"
"Atlanta Hawks";"Portland Trail Blazers";"Sat, Feb 18, 2012";77;97;201202180;"POR";"http://www.basketball-reference.com/boxscores/201202180POR.html";"ATL"
"Atlanta Hawks";"Chicago Bulls";"Tue, Jan 3, 2012";74;76;201201030;"CHI";"http://www.basketball-reference.com/boxscores/201201030CHI.html";"ATL"
"Atlanta Hawks";"Denver Nuggets";"Tue, Mar 13, 2012";117;118;201203130;"DEN";"http://www.basketball-reference.com/boxscores/201203130DEN.html";"ATL"
"Atlanta Hawks";"Detroit Pistons";"Fri, Jan 27, 2012";107;101;201201270;"DET";"http://www.basketball-reference.com/boxscores/201201270DET.html";"ATL"
"Atlanta Hawks";"Washington Wizards";"Sat, Mar 24, 2012";95;92;201203240;"WAS";"http://www.basketball-reference.com/boxscores/201203240WAS.html";"ATL"
"Atlanta Hawks";"Detroit Pistons";"Fri, Mar 9, 2012";85;86;201203090;"DET";"http://www.basketball-reference.com/boxscores/201203090DET.html";"ATL"
"Atlanta Hawks";"Los Angeles Lakers";"Tue, Feb 14, 2012";78;86;201202140;"LAL";"http://www.basketball-reference.com/boxscores/201202140LAL.html";"ATL"
"Atlanta Hawks";"Miami Heat";"Wed, Mar 7, 2012";86;89;201203070;"MIA";"http://www.basketball-reference.com/boxscores/201203070MIA.html";"ATL"
"Atlanta Hawks";"New Jersey Nets";"Mon, Jan 9, 2012";106;101;201201090;"BRK";"http://www.basketball-reference.com/boxscores/201201090NJN.html";"ATL"
"Atlanta Hawks";"San Antonio Spurs";"Wed, Jan 25, 2012";83;105;201201250;"SAS";"http://www.basketball-reference.com/boxscores/201201250SAS.html";"ATL"
