Rk;Player;Salary;Team 
1;Shareef Abdur-Rahim;13500000;ATL
2;Terrell Brandon;11100000;ATL
3;Theo Ratliff;10156250;ATL
4;Jason Terry;8333333;ATL
5;Alan Henderson;7682188;ATL
6;Nazr Mohammed;5000000;ATL
7;Chris Crawford;3000000;ATL
8;Boris Diaw;1021080;ATL
9;Dion Glover;1000000;ATL
10;Stephen Jackson;1000000;ATL
11;Dan Dickau;835200;ATL
12;Jacque Vaughn;813679;ATL
13;Obinna Ekezie;688679;ATL
14;Travis Hansen;366931;ATL
1;Vin Baker;13500000;BOS
2;Paul Pierce;11326219;BOS
3;Raef LaFrentz;8178750;BOS
4;Chris Mills;6600000;BOS
5;Ricky Davis;5000600;BOS
6;Michael Stewart;4480000;BOS
7;Chris Mihm;2809494;BOS
8;Jumaine Jones;1500000;BOS
9;Marcus Banks;1499400;BOS
10;Jiri Welsch;1326600;BOS
11;Walter McCarty;1200000;BOS
12;Mark Blount;944922;BOS
13;Kendrick Perkins;814320;BOS
14;Mike James;638679;BOS
15;Brandon Hunter;366931;BOS
1;Dikembe Mutombo;13626624;BRK
2;Jason Kidd;13152000;BRK
3;Kerry Kittles;9266666;BRK
4;Kenyon Martin;5128689;BRK
5;Alonzo Mourning;4917000;BRK
6;Rodney Rogers;3075600;BRK
7;Aaron Williams;2925000;BRK
8;Lucious Harris;2500000;BRK
9;Richard Jefferson;1586280;BRK
10;Jason Collins;1227480;BRK
11;Chris Childs;1166667;BRK
12;Brandon Armstrong;995650;BRK
13;Zoran Planinic;980280;BRK
14;Robert Pack;965610;BRK
15;Brian Scalabrine;800000;BRK
16;Tamar Slay;563679;BRK
17;Mikki Moore;513000;BRK
18;Damone Brown;202508;BRK
19;Doug Overton;104390;BRK
1;Antonio Davis;12925000;CHI
2;Eddie Robinson;6204000;CHI
3;Jerome Williams;5987500;CHI
4;Scottie Pippen;4917000;CHI
5;Tyson Chandler;3804360;CHI
6;Marcus Fizer;3726994;CHI
7;Jay Williams;3710880;CHI
8;Eddy Curry;3080160;CHI
9;Jamal Crawford;2577937;CHI
10;Kirk Hinrich;2185920;CHI
11;Corie Blount;1680000;CHI
12;Dalibor Bagaric;1599076;CHI
13;Kendall Gill;1070000;CHI
14;Chris Jefferies;840360;CHI
15;Rick Brunson;813679;CHI
16;Linton Johnson;366931;CHI
1;Zydrunas Ilgauskas;13500000;CLE
2;Eric Williams;5540000;CLE
3;Tony Battie;4400000;CLE
4;Darius Miles;4130701;CLE
5;LeBron James;4018920;CLE
6;Dajuan Wagner;2471280;CLE
7;Ira Newble;2458500;CLE
8;Kevin Ollie;2458500;CLE
9;DeSagana Diop;2118840;CLE
10;Kedrick Brown;1757640;CLE
11;Bimbo Coles;1050000;CLE
12;Bruno Sundov;751159;CLE
13;Carlos Boozer;563679;CLE
14;J.R. Bremer;563679;CLE
15;Jason Kapono;366931;CLE
16;Jelani McCoy;36643;CLE
1;Antoine Walker;13500000;DAL
2;Michael Finley;13281250;DAL
3;Antawn Jamison;11326219;DAL
4;Dirk Nowitzki;11326219;DAL
5;Tariq Abdul-Wahad;6187500;DAL
6;Steve Nash;5750000;DAL
7;Danny Fortson;5428602;DAL
8;Shawn Bradley;3500000;DAL
9;Eduardo Najera;3428572;DAL
10;Tony Delk;2925000;DAL
11;Travis Best;938679;DAL
12;Josh Howard;773400;DAL
13;Muggsy Bogues;437420;DAL
14;Marquis Daniels;366931;DAL
15;Jon Stefansson;366931;DAL
1;Andre Miller;8000000;DEN
2;Marcus Camby;7250000;DEN
3;Carmelo Anthony;3229200;DEN
4;Jon Barry;3000000;DEN
5;Nikoloz Tskitishvili;2720760;DEN
6;Earl Boykins;2500000;DEN
7;Cory Alexander;2302778;DEN
8;Nene;2102840;DEN
9;Rodney White;1947600;DEN
10;Mark Jackson;1500000;DEN
11;Ryan Bowen;1250000;DEN
12;Voshon Lenard;1200000;DEN
13;Mark Pope;751179;DEN
14;Chris Andersen;638679;DEN
15;Jeff Trepagnier;638679;DEN
16;Francisco Elson;366931;DEN
1;Richard Hamilton;6500000;DET
2;Bob Sura;6266666;DET
3;Ben Wallace;5500000;DET
4;Chauncey Billups;5000600;DET
5;Corliss Williamson;5000000;DET
6;Zeljko Rebraca;4200000;DET
7;Elden Campbell;4000000;DET
8;Chucky Atkins;3900000;DET
9;Darko Milicic;3595800;DET
10;Lindsey Hunter;3000000;DET
11;Hubert Davis;2956250;DET
12;Mehmet Okur;1100000;DET
13;Tayshaun Prince;971160;DET
14;Darvin Ham;813679;DET
15;Tremaine Fowlkes;638679;DET
1;Nick Van Exel;11956625;GSW
2;Erick Dampier;7842000;GSW
3;Avery Johnson;5445600;GSW
4;Clifford Robinson;4700000;GSW
5;Adonal Foyle;4400000;GSW
6;Mike Dunleavy;3332520;GSW
7;Evan Eschmeyer;3017266;GSW
8;Speedy Claxton;3000000;GSW
9;Jason Richardson;2789280;GSW
10;Mickael Pietrus;1527946;GSW
11;Troy Murphy;1506960;GSW
12;Calbert Cheaney;1070000;GSW
13;Popeye Jones;1070000;GSW
14;Brian Cardinal;663679;GSW
15;Pepe Sanchez;663679;GSW
16;Cherokee Parks;228946;GSW
17;Sean Lampley;89364;GSW
18;Dan Langhi;72843;GSW
1;Steve Francis;10960000;HOU
2;Maurice Taylor;7800000;HOU
3;Kelvin Cato;7344000;HOU
4;Clarence Weatherspoon;5445600;HOU
5;Cuttino Mobley;5394125;HOU
6;Yao Ming;4147560;HOU
7;Matt Maloney;3006260;HOU
8;Eric Piatkowski;2500000;HOU
9;Eddie Griffin;2312760;HOU
10;Jim Jackson;2200000;HOU
11;Bostjan Nachbar;1396440;HOU
12;Adrian Griffin;751179;HOU
13;Scott Padgett;688679;HOU
14;Mike Wilks;638679;HOU
15;Alton Ford;586082;HOU
16;Ben Davis;176369;HOU
17;Torraye Braggs;53697;HOU
1;Jermaine ONeal;13152000;IND
2;Austin Croshere;7610000;IND
3;Jonathan Bender;5800000;IND
4;Al Harrington;5692500;IND
5;Metta World Peace;5473684;IND
6;Scot Pollard;5309563;IND
7;Reggie Miller;5000000;IND
8;Jeff Foster;4000000;IND
9;Fred Jones;1506000;IND
10;Kenny Anderson;1070000;IND
11;Primoz Brezec;861600;IND
12;Jamaal Tinsley;861600;IND
13;Anthony Johnson;813679;IND
14;Jamison Brewer;638679;IND
15;James Jones;366931;IND
1;Elton Brand;10960000;LAC
2;Corey Maggette;7000000;LAC
3;Predrag Drobnjak;2500000;LAC
4;Chris Kaman;2394600;LAC
5;Keyon Dooling;2256444;LAC
6;Wang Zhizhi;2090000;LAC
7;Chris Wilcox;2066760;LAC
8;Marko Jaric;1925000;LAC
9;Quentin Richardson;1805735;LAC
10;Melvin Ely;1628760;LAC
11;Olden Polynice;1070000;LAC
12;Glen Rice;1070000;LAC
13;Eddie House;750000;LAC
14;Bobby Simmons;638679;LAC
15;Doug Overton;591454;LAC
16;Josh Moore;366931;LAC
1;Shaquille ONeal;24749999;LAL
2;Kobe Bryant;13500000;LAL
3;Gary Payton;4917000;LAL
4;Rick Fox;4734797;LAL
5;Devean George;4546000;LAL
6;Derek Fisher;3000000;LAL
7;Stanislav Medvedenko;1540000;LAL
8;Karl Malone;1500000;LAL
9;Kareem Rush;1097640;LAL
10;Horace Grant;1070000;LAL
11;Bryon Russell;1070000;LAL
12;Brian Cook;903360;LAL
13;Jannero Pargo;563679;LAL
14;Jamal Sampson;563679;LAL
15;Luke Walton;366931;LAL
1;Bonzi Wells;7000000;MEM
2;Lorenzen Wright;6600000;MEM
3;Bo Outlaw;6585000;MEM
4;Michael Dickerson;6187500;MEM
5;Jason Williams;6187500;MEM
6;James Posey;4917000;MEM
7;Stromile Swift;4592418;MEM
8;Mike Miller;3380457;MEM
9;Pau Gasol;2618395;MEM
10;Shane Battier;2533440;MEM
11;Jake Tsakalidis;1580702;MEM
12;Earl Watson;1336500;MEM
13;Troy Bell;1285440;MEM
14;Ryan Humphrey;1143360;MEM
15;Dahntay Jones;1063680;MEM
16;Theron Smith;366931;MEM
1;Eddie Jones;12333750;MIA
2;Brian Grant;12130648;MIA
3;Lamar Odom;9963596;MIA
4;Dwyane Wade;2636400;MIA
5;Caron Butler;1804680;MIA
6;Samaki Walker;1700000;MIA
7;Malik Allen;1510000;MIA
8;Bimbo Coles;1070000;MIA
9;John Wallace;813679;MIA
10;Rafer Alston;688679;MIA
11;Loren Woods;638679;MIA
12;Rasual Butler;563679;MIA
13;Wang Zhizhi;530943;MIA
14;Jerome Beasley;366931;MIA
15;Udonis Haslem;366931;MIA
16;Tyrone Hill;221829;MIA
17;Kirk Penney;8950;MIA
1;Tim Thomas;11825000;MIL
2;Toni Kukoc;9056250;MIL
3;Jason Caffey;5687500;MIL
4;Joe Smith;5445600;MIL
5;Anthony Mason;4348094;MIL
6;Michael Redd;3000000;MIL
7;Joel Przybilla;2373309;MIL
8;T.J. Ford;2002680;MIL
9;Desmond Mason;1898312;MIL
10;Marcus Haislip;1547280;MIL
11;Brian Skinner;1500000;MIL
12;Erick Strickland;1500000;MIL
13;Daniel Santiago;1200000;MIL
14;Damon Jones;751179;MIL
15;Dan Gadzuric;563679;MIL
16;Dan Langhi;530943;MIL
1;Kevin Garnett;28000000;MIN
2;Latrell Sprewell;13500000;MIN
3;Wally Szczerbiak;8000000;MIN
4;Sam Cassell;5062500;MIN
5;Michael Olowokandi;4917000;MIN
6;Ervin Johnson;4418156;MIN
7;Troy Hudson;2100000;MIN
8;Gary Trent;938679;MIN
9;Fred Hoiberg;938679;MIN
10;Ndudi Ebi;838560;MIN
11;Oliver Miller;686838;MIN
12;Mark Madsen;663679;MIN
13;Trenton Hassell;638679;MIN
14;Keith McLeod;366931;MIN
15;Quincy Lewis;202341;MIN
1;Baron Davis;10960000;NOP
2;Jamal Mashburn;8525000;NOP
3;P.J. Brown;8000000;NOP
4;David Wesley;3960000;NOP
5;George Lynch;2800000;NOP
6;Darrell Armstrong;2475000;NOP
7;Stacey Augmon;2400000;NOP
8;Courtney Alexander;2168193;NOP
9;Jamaal Magloire;1726771;NOP
10;Kirk Haston;1360080;NOP
