Rk;Player;Salary;Team
1;Josh Smith;13200000;ATL
2;Al Horford;12000000;ATL
3;Devin Harris;8500000;ATL
4;Zaza Pachulia;5248750;ATL
5;Kyle Korver;5000000;ATL
6;Louis Williams;5000000;ATL
7;Johan Petro;3500000;ATL
8;Dahntay Jones;2900000;ATL
9;Jeff Teague;2433077;ATL
10;DeShawn Stevenson;2240450;ATL
11;Jordan Farmar;1500000;ATL
12;John Jenkins;1204560;ATL
13;Ivan Johnson;962195;ATL
14;Anthony Tolliver;915852;ATL
15;Jeremy Tyler;762195;ATL
16;Jordan Williams;762195;ATL
17;Mike Scott;473604;ATL
18;Jannero Pargo;165487;ATL
1;Paul Pierce;16790345;BOS
2;Kevin Garnett;11566265;BOS
3;Rajon Rondo;11000000;BOS
4;Jeff Green;8385000;BOS
5;Brandon Bass;6000000;BOS
6;Courtney Lee;5000000;BOS
7;Jason Terry;5000000;BOS
8;Avery Bradley;1630800;BOS
9;Chris Wilcox;1352181;BOS
10;Keyon Dooling;1352181;BOS
11;Jared Sullinger;1306920;BOS
12;Fab Melo;1254720;BOS
13;Jordan Crawford;1198680;BOS
14;Terrence Williams;296776;BOS
15;D.J. White;269368;BOS
16;Dionte Christmas;236800;BOS
17;Kris Joseph;189442;BOS
18;Darko Milicic;159080;BOS
19;Jarvis Varnado;33431;BOS
1;Joe Johnson;19752645;BRK
2;Deron Williams;17177795;BRK
3;Brook Lopez;13668750;BRK
4;Kris Humphries;12000000;BRK
5;Gerald Wallace;9682435;BRK
6;Mirza Teletovic;3090000;BRK
7;Reggie Evans;1622617;BRK
8;Jerry Stackhouse;1352181;BRK
9;Keith Bogans;1229225;BRK
10;MarShon Brooks;1193280;BRK
11;Andray Blatche;1146337;BRK
12;Travis Outlaw;1000000;BRK
13;Tornike Shengelia;473604;BRK
14;Tyshawn Taylor;473604;BRK
15;Josh Childress;377474;BRK
16;Damion James;50258;BRK
1;Ben Gordon;12400000;CHO
2;Tyrus Thomas;8000000;CHO
3;DeSagana Diop;7372200;CHO
4;Ramon Sessions;5000000;CHO
5;Michael Kidd-Gilchrist;4602720;CHO
6;Josh McRoberts;3135000;CHO
7;Gerald Henderson;3101327;CHO
8;Bismack Biyombo;3007920;CHO
9;Reggie Williams;2612500;CHO
10;Kemba Walker;2532960;CHO
11;Byron Mullens;2253306;CHO
12;Brendan Haywood;2050000;CHO
13;Jeff Adrien;804131;CHO
14;Jeff Taylor;575000;CHO
15;Cory Higgins;44835;CHO
1;Derrick Rose;16402500;CHI
