"nome.visitor";"nome.home";"Date";"score_y";"score_x";"data2";"home";"link";"visitor"
"Atlanta Hawks";"Detroit Pistons";"Tue, Mar 31, 2015";95;105;201503310;"DET";"http://www.basketball-reference.com/boxscores/201503310DET.html";"ATL"
"Atlanta Hawks";"Brooklyn Nets";"Mon, Apr 27, 2015";115;120;201504270;"BRK";"http://www.basketball-reference.com/boxscores/201504270BRK.html";"ATL"
"Atlanta Hawks";"Boston Celtics";"Wed, Feb 11, 2015";88;89;201502110;"BOS";"http://www.basketball-reference.com/boxscores/201502110BOS.html";"ATL"
"Atlanta Hawks";"Dallas Mavericks";"Mon, Dec 22, 2014";105;102;201412220;"DAL";"http://www.basketball-reference.com/boxscores/201412220DAL.html";"ATL"
"Atlanta Hawks";"Boston Celtics";"Wed, Jan 14, 2015";105;91;201501140;"BOS";"http://www.basketball-reference.com/boxscores/201501140BOS.html";"ATL"
"Atlanta Hawks";"Orlando Magic";"Sat, Dec 13, 2014";99;100;201412130;"ORL";"http://www.basketball-reference.com/boxscores/201412130ORL.html";"ATL"
"Atlanta Hawks";"Denver Nuggets";"Wed, Mar 11, 2015";102;115;201503110;"DEN";"http://www.basketball-reference.com/boxscores/201503110DEN.html";"ATL"
"Atlanta Hawks";"Philadelphia 76ers";"Sat, Mar 7, 2015";84;92;201503070;"PHI";"http://www.basketball-reference.com/boxscores/201503070PHI.html";"ATL"
"Atlanta Hawks";"San Antonio Spurs";"Wed, Nov 5, 2014";92;94;201411050;"SAS";"http://www.basketball-reference.com/boxscores/201411050SAS.html";"ATL"
"Atlanta Hawks";"Brooklyn Nets";"Fri, May 1, 2015";111;87;201505010;"BRK";"http://www.basketball-reference.com/boxscores/201505010BRK.html";"ATL"
"Atlanta Hawks";"Toronto Raptors";"Wed, Oct 29, 2014";102;109;201410290;"TOR";"http://www.basketball-reference.com/boxscores/201410290TOR.html";"ATL"
"Atlanta Hawks";"Minnesota Timberwolves";"Mon, Feb 9, 2015";117;105;201502090;"MIN";"http://www.basketball-reference.com/boxscores/201502090MIN.html";"ATL"
"Atlanta Hawks";"Cleveland Cavaliers";"Wed, Dec 17, 2014";127;98;201412170;"CLE";"http://www.basketball-reference.com/boxscores/201412170CLE.html";"ATL"
"Atlanta Hawks";"Washington Wizards";"Tue, Nov 25, 2014";106;102;201411250;"WAS";"http://www.basketball-reference.com/boxscores/201411250WAS.html";"ATL"
"Atlanta Hawks";"Oklahoma City Thunder";"Fri, Mar 20, 2015";115;123;201503200;"OKC";"http://www.basketball-reference.com/boxscores/201503200OKC.html";"ATL"
"Atlanta Hawks";"Charlotte Hornets";"Fri, Nov 7, 2014";119;122;201411070;"CHO";"http://www.basketball-reference.com/boxscores/201411070CHO.html";"ATL"
"Atlanta Hawks";"Cleveland Cavaliers";"Sat, Nov 15, 2014";94;127;201411150;"CLE";"http://www.basketball-reference.com/boxscores/201411150CLE.html";"ATL"
"Atlanta Hawks";"Milwaukee Bucks";"Sat, Dec 27, 2014";90;85;201412270;"MIL";"http://www.basketball-reference.com/boxscores/201412270MIL.html";"ATL"
"Atlanta Hawks";"New York Knicks";"Mon, Nov 10, 2014";91;85;201411100;"NYK";"http://www.basketball-reference.com/boxscores/201411100NYK.html";"ATL"
"Atlanta Hawks";"Brooklyn Nets";"Sat, Apr 25, 2015";83;91;201504250;"BRK";"http://www.basketball-reference.com/boxscores/201504250BRK.html";"ATL"
"Atlanta Hawks";"Chicago Bulls";"Sat, Jan 17, 2015";107;99;201501170;"CHI";"http://www.basketball-reference.com/boxscores/201501170CHI.html";"ATL"
"Atlanta Hawks";"New Orleans Pelicans";"Mon, Feb 2, 2015";100;115;201502020;"NOP";"http://www.basketball-reference.com/boxscores/201502020NOP.html";"ATL"
"Atlanta Hawks";"Sacramento Kings";"Mon, Mar 16, 2015";110;103;201503160;"SAC";"http://www.basketball-reference.com/boxscores/201503160SAC.html";"ATL"
"Atlanta Hawks";"Portland Trail Blazers";"Sat, Jan 3, 2015";115;107;201501030;"POR";"http://www.basketball-reference.com/boxscores/201501030POR.html";"ATL"
"Atlanta Hawks";"Houston Rockets";"Sat, Dec 20, 2014";104;97;201412200;"HOU";"http://www.basketball-reference.com/boxscores/201412200HOU.html";"ATL"
"Atlanta Hawks";"Los Angeles Lakers";"Sun, Mar 15, 2015";91;86;201503150;"LAL";"http://www.basketball-reference.com/boxscores/201503150LAL.html";"ATL"
"Atlanta Hawks";"Utah Jazz";"Fri, Jan 2, 2015";98;92;201501020;"UTA";"http://www.basketball-reference.com/boxscores/201501020UTA.html";"ATL"
"Atlanta Hawks";"Los Angeles Clippers";"Mon, Jan 5, 2015";107;98;201501050;"LAC";"http://www.basketball-reference.com/boxscores/201501050LAC.html";"ATL"
"Atlanta Hawks";"Detroit Pistons";"Fri, Jan 9, 2015";106;103;201501090;"DET";"http://www.basketball-reference.com/boxscores/201501090DET.html";"ATL"
"Atlanta Hawks";"Indiana Pacers";"Mon, Dec 8, 2014";108;92;201412080;"IND";"http://www.basketball-reference.com/boxscores/201412080IND.html";"ATL"
"Atlanta Hawks";"Miami Heat";"Wed, Dec 3, 2014";112;102;201412030;"MIA";"http://www.basketball-reference.com/boxscores/201412030MIA.html";"ATL"
"Atlanta Hawks";"Cleveland Cavaliers";"Sun, May 24, 2015";111;114;201505240;"CLE";"http://www.basketball-reference.com/boxscores/201505240CLE.html";"ATL"
"Atlanta Hawks";"Chicago Bulls";"Wed, Apr 15, 2015";85;91;201504150;"CHI";"http://www.basketball-reference.com/boxscores/201504150CHI.html";"ATL"
"Atlanta Hawks";"Cleveland Cavaliers";"Tue, May 26, 2015";88;118;201505260;"CLE";"http://www.basketball-reference.com/boxscores/201505260CLE.html";"ATL"
"Atlanta Hawks";"Washington Wizards";"Sun, Apr 12, 2015";99;108;201504120;"WAS";"http://www.basketball-reference.com/boxscores/201504120WAS.html";"ATL"
"Atlanta Hawks";"Philadelphia 76ers";"Tue, Jan 13, 2015";105;87;201501130;"PHI";"http://www.basketball-reference.com/boxscores/201501130PHI.html";"ATL"
"Atlanta Hawks";"Miami Heat";"Sat, Feb 28, 2015";93;91;201502280;"MIA";"http://www.basketball-reference.com/boxscores/201502280MIA.html";"ATL"
