nome.visitor;nome.home;Date;Start..ET.;score_y;score_x;data2;home;link;visitor
Atlanta Hawks;Los Angeles Lakers;Fri, Mar 4, 2016;10:30 PM;106;77;201603040;LAL;http://www.basketball-reference.com/boxscores/pbp/201603040LAL.html;ATL
Atlanta Hawks;Phoenix Suns;Sat, Jan 23, 2016;9:00 PM;95;98;201601230;PHO;http://www.basketball-reference.com/boxscores/pbp/201601230PHO.html;ATL
Atlanta Hawks;Miami Heat;Tue, Nov 3, 2015;7:30 PM;98;92;201511030;MIA;http://www.basketball-reference.com/boxscores/pbp/201511030MIA.html;ATL
Atlanta Hawks;Orlando Magic;Sun, Feb 7, 2016;1:00 PM;94;96;201602070;ORL;http://www.basketball-reference.com/boxscores/pbp/201602070ORL.html;ATL
Atlanta Hawks;New York Knicks;Thu, Oct 29, 2015;8:00 PM;112;101;201510290;NYK;http://www.basketball-reference.com/boxscores/pbp/201510290NYK.html;ATL
Atlanta Hawks;Utah Jazz;Tue, Mar 8, 2016;9:00 PM;91;84;201603080;UTA;http://www.basketball-reference.com/boxscores/pbp/201603080UTA.html;ATL
Atlanta Hawks;Indiana Pacers;Mon, Dec 28, 2015;7:00 PM;87;93;201512280;IND;http://www.basketball-reference.com/boxscores/pbp/201512280IND.html;ATL
Atlanta Hawks;Denver Nuggets;Mon, Jan 25, 2016;9:00 PM;119;105;201601250;DEN;http://www.basketball-reference.com/boxscores/pbp/201601250DEN.html;ATL
Atlanta Hawks;San Antonio Spurs;Sat, Nov 28, 2015;8:30 PM;88;108;201511280;SAS;http://www.basketball-reference.com/boxscores/pbp/201511280SAS.html;ATL
Atlanta Hawks;Sacramento Kings;Thu, Jan 21, 2016;10:00 PM;88;91;201601210;SAC;http://www.basketball-reference.com/boxscores/pbp/201601210SAC.html;ATL
Atlanta Hawks;Los Angeles Clippers;Sat, Mar 5, 2016;10:30 PM;107;97;201603050;LAC;http://www.basketball-reference.com/boxscores/pbp/201603050LAC.html;ATL
Atlanta Hawks;Houston Rockets;Tue, Dec 29, 2015;8:00 PM;121;115;201512290;HOU;http://www.basketball-reference.com/boxscores/pbp/201512290HOU.html;ATL
Atlanta Hawks;Milwaukee Bucks;Fri, Jan 15, 2016;8:00 PM;101;108;201601150;MIL;http://www.basketball-reference.com/boxscores/pbp/201601150MIL.html;ATL
Atlanta Hawks;Brooklyn Nets;Tue, Nov 17, 2015;7:30 PM;88;90;201511170;BRK;http://www.basketball-reference.com/boxscores/pbp/201511170BRK.html;ATL
Atlanta Hawks;Indiana Pacers;Thu, Jan 28, 2016;7:00 PM;92;111;201601280;IND;http://www.basketball-reference.com/boxscores/pbp/201601280IND.html;ATL
Atlanta Hawks;New Orleans Pelicans;Fri, Nov 6, 2015;8:00 PM;121;115;201511060;NOP;http://www.basketball-reference.com/boxscores/pbp/201511060NOP.html;ATL
Atlanta Hawks;New York Knicks;Sun, Jan 3, 2016;3:30 PM;97;111;201601030;NYK;http://www.basketball-reference.com/boxscores/pbp/201601030NYK.html;ATL
Atlanta Hawks;Cleveland Cavaliers;Sat, Nov 21, 2015;7:30 PM;97;109;201511210;CLE;http://www.basketball-reference.com/boxscores/pbp/201511210CLE.html;ATL
Atlanta Hawks;Toronto Raptors;Wed, Mar 30, 2016;7:30 PM;97;105;201603300;TOR;http://www.basketball-reference.com/boxscores/pbp/201603300TOR.html;ATL
Atlanta Hawks;Boston Celtics;Sun, Apr 24, 2016;6:00 PM;95;104;201604240;BOS;http://www.basketball-reference.com/boxscores/pbp/201604240BOS.html;ATL
Atlanta Hawks;Dallas Mavericks;Wed, Dec 9, 2015;9:30 PM;98;95;201512090;DAL;http://www.basketball-reference.com/boxscores/pbp/201512090DAL.html;ATL
Atlanta Hawks;Boston Celtics;Thu, Apr 28, 2016;8:00 PM;104;92;201604280;BOS;http://www.basketball-reference.com/boxscores/pbp/201604280BOS.html;ATL
Atlanta Hawks;Miami Heat;Sun, Jan 31, 2016;6:00 PM;87;105;201601310;MIA;http://www.basketball-reference.com/boxscores/pbp/201601310MIA.html;ATL
Atlanta Hawks;Cleveland Cavaliers;Wed, May 4, 2016;8:00 PM;98;123;201605040;CLE;http://www.basketball-reference.com/boxscores/pbp/201605040CLE.html;ATL
Atlanta Hawks;Boston Celtics;Fri, Dec 18, 2015;7:30 PM;109;101;201512180;BOS;http://www.basketball-reference.com/boxscores/pbp/201512180BOS.html;ATL
Atlanta Hawks;Oklahoma City Thunder;Thu, Dec 10, 2015;8:00 PM;94;107;201512100;OKC;http://www.basketball-reference.com/boxscores/pbp/201512100OKC.html;ATL
Atlanta Hawks;Philadelphia 76ers;Wed, Feb 3, 2016;7:00 PM;124;86;201602030;PHI;http://www.basketball-reference.com/boxscores/pbp/201602030PHI.html;ATL
Atlanta Hawks;Portland Trail Blazers;Wed, Jan 20, 2016;10:30 PM;104;98;201601200;POR;http://www.basketball-reference.com/boxscores/pbp/201601200POR.html;ATL
Atlanta Hawks;Chicago Bulls;Wed, Feb 10, 2016;8:00 PM;113;90;201602100;CHI;http://www.basketball-reference.com/boxscores/pbp/201602100CHI.html;ATL
Atlanta Hawks;Boston Celtics;Fri, Nov 13, 2015;7:30 PM;93;106;201511130;BOS;http://www.basketball-reference.com/boxscores/pbp/201511130BOS.html;ATL
Atlanta Hawks;Golden State Warriors;Tue, Mar 1, 2016;10:30 PM;105;109;201603010;GSW;http://www.basketball-reference.com/boxscores/pbp/201603010GSW.html;ATL
Atlanta Hawks;Chicago Bulls;Mon, Mar 28, 2016;8:00 PM;102;100;201603280;CHI;http://www.basketball-reference.com/boxscores/pbp/201603280CHI.html;ATL
Atlanta Hawks;Detroit Pistons;Sat, Mar 26, 2016;7:30 PM;112;95;201603260;DET;http://www.basketball-reference.com/boxscores/pbp/201603260DET.html;ATL
Atlanta Hawks;Charlotte Hornets;Wed, Jan 13, 2016;7:00 PM;84;107;201601130;CHO;http://www.basketball-reference.com/boxscores/pbp/201601130CHO.html;ATL
Atlanta Hawks;Detroit Pistons;Wed, Mar 16, 2016;7:30 PM;118;114;201603160;DET;http://www.basketball-reference.com/boxscores/pbp/201603160DET.html;ATL
Atlanta Hawks;Charlotte Hornets;Sun, Nov 1, 2015;2:00 PM;94;92;201511010;CHO;http://www.basketball-reference.com/boxscores/pbp/201511010CHO.html;ATL
Atlanta Hawks;Minnesota Timberwolves;Wed, Nov 25, 2015;8:00 PM;95;99;201511250;MIN;http://www.basketball-reference.com/boxscores/pbp/201511250MIN.html;ATL
Atlanta Hawks;Boston Celtics;Fri, Apr 22, 2016;8:00 PM;103;111;201604220;BOS;http://www.basketball-reference.com/boxscores/pbp/201604220BOS.html;ATL
Atlanta Hawks;Washington Wizards;Wed, Apr 13, 2016;8:00 PM;98;109;201604130;WAS;http://www.basketball-reference.com/boxscores/pbp/201604130WAS.html;ATL
Atlanta Hawks;Cleveland Cavaliers;Mon, Apr 11, 2016;7:00 PM;94;109;201604110;CLE;http://www.basketball-reference.com/boxscores/pbp/201604110CLE.html;ATL
Atlanta Hawks;Philadelphia 76ers;Thu, Jan 7, 2016;7:00 PM;126;98;201601070;PHI;http://www.basketball-reference.com/boxscores/pbp/201601070PHI.html;ATL
Atlanta Hawks;Toronto Raptors;Thu, Mar 10, 2016;7:30 PM;96;104;201603100;TOR;http://www.basketball-reference.com/boxscores/pbp/201603100TOR.html;ATL
Atlanta Hawks;Cleveland Cavaliers;Mon, May 2, 2016;7:00 PM;93;104;201605020;CLE;http://www.basketball-reference.com/boxscores/pbp/201605020CLE.html;ATL
Atlanta Hawks;Orlando Magic;Sun, Dec 20, 2015;6:00 PM;103;100;201512200;ORL;http://www.basketball-reference.com/boxscores/pbp/201512200ORL.html;ATL
Atlanta Hawks;Washington Wizards;Wed, Mar 23, 2016;7:00 PM;122;101;201603230;WAS;http://www.basketball-reference.com/boxscores/pbp/201603230WAS.html;ATL
Atlanta Hawks;Memphis Grizzlies;Fri, Nov 27, 2015;8:00 PM;116;101;201511270;MEM;http://www.basketball-reference.com/boxscores/pbp/201511270MEM.html;ATL
Boston Celtics;Memphis Grizzlies;Sun, Jan 10, 2016;6:00 PM;98;101;201601100;MEM;http://www.basketball-reference.com/boxscores/pbp/201601100MEM.html;BOS
Boston Celtics;Atlanta Hawks;Sat, Apr 16, 2016;7:00 PM;101;102;201604160;ATL;http://www.basketball-reference.com/boxscores/pbp/201604160ATL.html;BOS
Boston Celtics;Orlando Magic;Sun, Jan 31, 2016;6:00 PM;114;119;201601310;ORL;http://www.basketball-reference.com/boxscores/pbp/201601310ORL.html;BOS
Boston Celtics;Atlanta Hawks;Tue, Apr 19, 2016;7:00 PM;72;89;201604190;ATL;http://www.basketball-reference.com/boxscores/pbp/201604190ATL.html;BOS
Boston Celtics;Detroit Pistons;Wed, Dec 16, 2015;7:30 PM;116;119;201512160;DET;http://www.basketball-reference.com/boxscores/pbp/201512160DET.html;BOS
Boston Celtics;Washington Wizards;Sat, Jan 16, 2016;7:30 PM;119;117;201601160;WAS;http://www.basketball-reference.com/boxscores/pbp/201601160WAS.html;BOS
