"team";"num_vit_1112";"num_vit_1213";"num_vit_1314";"num_vit_1415";"num_vit_1516"
"ATL";40;44;39;60;49
"BOS";39;41;25;40;48
"BRK";22;50;45;38;21
"CHI";51;45;48;51;42
"CHO";7;21;43;33;48
"CLE";21;24;33;53;57
"DAL";36;41;49;50;42
"DEN";38;58;36;30;33
"DET";25;29;29;32;44
"GSW";23;47;52;68;74
"HOU";34;45;54;57;41
"IND";42;49;56;38;46
"LAC";40;57;57;56;53
"LAL";41;45;27;21;17
"MEM";41;56;50;55;42
"MIA";47;66;54;37;48
"MIL";31;38;15;41;33
"MIN";26;31;40;16;29
"NOP";21;27;34;45;30
"NYK";36;55;37;17;32
"OKC";48;60;60;45;56
"ORL";38;20;23;25;35
"PHI";35;34;19;18;10
"PHO";33;25;48;39;23
"POR";28;33;54;51;44
"SAC";22;28;28;29;33
"SAS";50;58;62;55;67
"TOR";23;34;48;49;56
"UTA";36;43;25;38;40
"WAS";20;29;44;47;41
