"Team";"salary_mean";"salary_sd";"per_mean";"per_median";"age_mean";"age_sd";"salary5_sum";"salary5_mean";"salary610_sum";"salary610_mean";"Time";"conf";"posicao"
"ATL";4.23320561538462;3.756696584308;15.8181818181818;15.5;25.6363636363636;3.85415950040284;41.485563;8.2971126;10.664545;2.132909;"Atlanta Hawks";"E";16
"BOS";5.79723718181818;4.30313202768671;12.78;13.5;25.8;3.55277669185979;49.4754;9.89508;13.084129;2.6168258;"Boston Celtics";"E";24
"BRK";6.84059966666667;7.40751364125067;15.4785714285714;14.35;28.9285714285714;4.7630676235818;82.403823;16.4807646;15.108602;3.0217204;"Brooklyn Nets";"E";8
"CHI";6.54583346153846;6.06843716469513;13.17;14;28.7;5.056349144063;65.857688;13.1715376;16.050547;3.2101094;"Chicago Bulls";"E";16
"CHO";4.34421871428571;4.14079030441242;14.1666666666667;14.05;26.0833333333333;4.42016728053122;42.50984;8.501968;14.17732;2.835464;"Charlotte Hornets";"E";16
"CLE";4.27730945454545;2.23492928487486;15.3333333333333;15.3;24.3333333333333;3.5;30.517884;6.1035768;15.06468;3.012936;"Cleveland Cavaliers";"E";20
"DAL";5.13056807692308;6.00665558930807;16.55;17;28.6666666666667;4.5792681696639;51.829747;10.3659494;12.341987;2.4683974;"Dallas Mavericks";"W";16
"DEN";4.4882934;3.54850903062348;15.4133333333333;16.6;24.9333333333333;3.93639912804051;43.177606;8.6355212;17.647683;3.5295366;"Denver Nuggets";"W";22
"DET";4.92975608333333;3.82639816866841;15.2454545454545;15.7;25.7272727272727;4.56269457866531;42.735503;8.5471006;14.492277;2.8984554;"Detroit Pistons";"E";22
"GSW";5.135702;5.36548567594398;14.3166666666667;14.5;25.4166666666667;3.9648073054938;54.134274;10.8268548;9.90876;1.981752;"Golden State Warriors";"W";16
"HOU";4.35615678571429;6.16835073549718;14.1928571428571;14.9;24.5;2.68184781304005;52.51556;10.503112;5.77097;1.154194;"Houston Rockets";"W";16
"IND";4.58459966666667;4.5119688037666;14.7181818181818;16.6;26.3636363636364;3.47196564708602;42.792348;8.5584696;10.549683;2.1099366;"Indiana Pacers";"E";4
"LAC";5.62337392307692;6.02229504878919;16.0083333333333;15.4;28;4.06761042203584;57.621481;11.5242962;12.199014;2.4398028;"Los Angeles Clippers";"W";8
"LAL";6.39630075;9.25556844369991;13.5090909090909;13.3;29.1818181818182;4.62208138868588;66.603755;13.320751;8.446883;1.6893766;"Los Angeles Lakers";"W";28
"MEM";5.27070421428571;5.2034276798184;13.9928571428571;13.5;26.2142857142857;4.0983781300294;53.121479;10.6242958;16.008721;3.2017442;"Memphis Grizzlies";"W";16
"MIA";6.24550461538461;7.3371389412954;15.3166666666667;13.05;30.0833333333333;4.16606056197706;65.148;13.0296;13.098064;2.6196128;"Miami Heat";"E";2
"MIL";3.51250935714286;2.29106440041532;14.15;13.2;25.4166666666667;3.28794860978788;29.889548;5.9779096;14.252688;2.8505376;"Milwaukee Bucks";"E";30
"MIN";4.8204175;4.0270311709587;14.9272727272727;14.7;25.3636363636364;2.76668492144398;43.310866;8.6621732;18.51912;3.703824;"Minnesota Timberwolves";"W";20
"NOP";4.78354530769231;4.38862902657252;13.8615384615385;14.6;23.6153846153846;2.63117405792109;47.481588;9.4963176;12.242464;2.4484928;"New Orleans Pelicans";"W";24
"NYK";6.83772515384615;7.96764687830997;15.25;13.75;28.8333333333333;4.40729422937049;75.615405;15.123081;9.92169;1.984338;"New York Knicks";"E";18
"OKC";5.08438314285714;5.77431082836405;14.5181818181818;12.8;25.9090909090909;5.31891991770031;57.15397;11.430794;9.447575;1.889515;"Oklahoma City Thunder";"W";4
"ORL";3.644898375;3.30799902733867;10.4583333333333;11.9;26.3333333333333;5.19323569364004;39.07626;7.815252;12.48626;2.497252;"Orlando Magic";"E";26
"PHI";4.21035757142857;3.79679230825461;10.5545454545455;12.1;25.1818181818182;3.45884899404937;42.005905;8.401181;13.098621;2.6197242;"Philadelphia 76ers";"E";28
"PHO";3.78897564705882;3.61210966585521;12.2071428571429;11.85;25.4285714285714;3.13084617990054;41.054167;8.2108334;15.211033;3.0422066;"Phoenix Suns";"W";18
"POR";4.39568471428571;3.92808264288511;13.3153846153846;14.1;25;3.65148371670111;41.729431;8.3458862;14.069616;2.8139232;"Portland Trail Blazers";"W";8
"SAC";5.2510248;4.05955875149948;14.6571428571429;15.05;26.2142857142857;3.01734910217489;45.744431;9.1488862;21.65066;4.330132;"Sacramento Kings";"W";26
"SAS";4.54757342857143;3.93857154525612;15.1214285714286;14.1;27.4285714285714;4.65277891677131;45.063946;9.0127892;14.09534;2.819068;"San Antonio Spurs";"W";1
"TOR";3.97511592307692;2.55107467865164;13.0923076923077;13.3;25.5384615384615;4.57557618621933;32.843773;6.5687546;15.828955;3.165791;"Toronto Raptors";"E";16
"UTA";4.54095633333333;3.21093096875307;13.7888888888889;11.9;24.4444444444444;3.84418753155693;38.059476;7.6118952;13.7532;2.75064;"Utah Jazz";"W";30
"WAS";4.82041523076923;3.38273050605826;12.4272727272727;13.6;24.1818181818182;2.63887028169942;41.064485;8.212897;17.050134;3.4100268;"Washington Wizards";"E";8
