Rk;Player;Salary;Team 
1;Antoine Walker;14625000;ATL
2;Al Harrington;6325000;ATL
3;Chris Crawford;3250000;ATL
4;Tony Delk;2700000;ATL
5;Predrag Drobnjak;2550000;ATL
6;Josh Childress;2490360;ATL
7;Jon Barry;1800000;ATL
8;Jason Collier;1500000;ATL
9;Kevin Willis;1300000;ATL
10;Josh Smith;1270080;ATL
11;Kenny Anderson;1100000;ATL
12;Boris Diaw;1097640;ATL
13;Royal Ivey;425000;ATL
14;Donta Smith;425000;ATL
15;Jelani McCoy;167418;ATL
16;Anthony Miller;34118;ATL
1;Paul Pierce;12584688;BOS
2;Raef LaFrentz;9714538;BOS
3;Ricky Davis;5455200;BOS
4;Gary Payton;5408700;BOS
5;Vin Baker;5333333;BOS
6;Mark Blount;4903000;BOS
7;Rick Fox;4800000;BOS
8;Michael Stewart;4800000;BOS
9;Tom Gugliotta;2700000;BOS
10;Marcus Banks;1611840;BOS
11;Jiri Welsch;1419240;BOS
12;Al Jefferson;1407240;BOS
13;Walter McCarty;1337500;BOS
14;Delonte West;939480;BOS
15;Tony Allen;901920;BOS
16;Kendrick Perkins;875400;BOS
17;Justin Reed;385277;BOS
1;Dikembe Mutombo;14989285;BRK
2;Jason Kidd;14796000;BRK
3;Vince Carter;12584688;BRK
4;Richard Jefferson;2266794;BRK
5;Jason Collins;1887864;BRK
6;Ron Mercer;1600000;BRK
7;Zoran Planinic;1053720;BRK
8;Travis Best;1000000;BRK
9;Nenad Krstic;939480;BRK
10;Jacque Vaughn;932546;BRK
11;Brian Scalabrine;900000;BRK
12;Rodney Buford;745046;BRK
13;Jabari Smith;720046;BRK
14;Kaniel Dickens;483938;BRK
15;Awvee Storey;84573;BRK
1;Jahidi White;6166466;CHO
2;Emeka Okafor;3739680;CHO
3;Melvin Ely;1742400;CHO
4;Gerald Wallace;1652453;CHO
5;Primoz Brezec;1554326;CHO
6;Jason Hart;1400000;CHO
7;Kareem Rush;1174200;CHO
8;Steve Smith;1100000;CHO
9;Brevin Knight;932546;CHO
10;Eddie House;825000;CHO
11;Jamal Sampson;695046;CHO
12;Tamar Slay;695046;CHO
13;Keith Bogans;620046;CHO
14;Jason Kapono;620046;CHO
15;Theron Smith;620046;CHO
16;Bernard Robinson;385277;CHO
1;Antonio Davis;12925000;CHI
2;Scottie Pippen;5408700;CHI
3;Eddie Robinson;5055556;CHI
4;Tyson Chandler;4801102;CHI
5;Eddy Curry;3896402;CHI
6;Ben Gordon;3358320;CHI
7;Othella Harrington;3150000;CHI
8;Eric Piatkowski;2750000;CHI
9;Andres Nocioni;2525000;CHI
10;Kirk Hinrich;2349840;CHI
11;Luol Deng;2273400;CHI
12;Cezary Trybanski;1700000;CHI
13;Jay Williams;1550551;CHI
14;Frank Williams;957480;CHI
15;Chris Jeffries;899040;CHI
16;Adrian Griffin;870046;CHI
17;Mike Wilks;720046;CHI
18;Jannero Pargo;695046;CHI
19;Tommy Smith;620046;CHI
20;Chris Duhon;385277;CHI
21;Jared Reiner;385277;CHI
1;Zydrunas Ilgauskas;14625000;CLE
2;Eric Snow;4875000;CLE
3;LeBron James;4320360;CLE
4;Jeff McInnis;3600000;CLE
5;Drew Gooden;3214080;CLE
6;Ira Newble;2704350;CLE
7;DeSagana Diop;2695164;CLE
8;Dajuan Wagner;2643600;CLE
9;Lucious Harris;2500000;CLE
10;Luke Jackson;1818720;CLE
11;Robert Traylor;1600000;CLE
12;Scott Williams;1600000;CLE
13;Sasha Pavlovic;1191000;CLE
14;Steven Hunter;1000000;CLE
15;Anderson Varejao;788000;CLE
1;Michael Finley;14609375;DAL
2;Dirk Nowitzki;12584688;DAL
3;Alan Henderson;8273125;DAL
4;Erick Dampier;7700000;DAL
5;Jason Terry;7500000;DAL
