Rk;Player;Salary;team
1;Joe Johnson;16324500;ATL
2;Josh Smith;11600000;ATL
3;Jamal Crawford;10800000;ATL
4;Kirk Hinrich;9000000;ATL
5;Marvin Williams;6712500;ATL
6;Al Horford;5444857;ATL
7;Zaza Pachulia;4251250;ATL
8;Jeff Teague;1476840;ATL
9;Jason Collins;1352181;ATL
10;Etan Thomas;1223166;ATL
11;Josh Powell;1069609;ATL
12;Hilton Armstrong;992680;ATL
13;Damien Wilkins;748656;ATL
14;Pape Sy;473604;ATL
1;Kevin Garnett;18800000;BOS
2;Paul Pierce;13876321;BOS
3;Ray Allen;10000000;BOS
4;Rajon Rondo;9090911;BOS
5;Rasheed Wallace;6322320;BOS
6;Jermaine ONeal;5765000;BOS
7;Nenad Krstic;5543116;BOS
8;Jeff Green;4455988;BOS
9;Glen Davis;3300000;BOS
10;Avery Bradley;1418160;BOS
11;Shaquille ONeal;1352181;BOS
12;Delonte West;1069509;BOS
13;Von Wafer;915852;BOS
14;Chris Johnson;136509;BOS
1;Deron Williams;14940152;BRK
2;Dan Gadzuric;7248325;BRK
3;Travis Outlaw;7000000;BRK
4;Sasha Vujacic;5475113;BRK
5;Anthony Morrow;4000000;BRK
6;Jordan Farmar;3750000;BRK
7;Brandan Wright;3398072;BRK
8;Johan Petro;3250000;BRK
9;Kris Humphries;3200000;BRK
10;Brook Lopez;2413320;BRK
11;Damion James;1156320;BRK
12;Quinton Ross;1146337;BRK
13;Stephen Graham;992680;BRK
14;Ben Uzoh;473604;BRK
15;Orien Greene;52066;BRK
1;Boris Diaw;9000000;CHO
2;Stephen Jackson;8453250;CHO
3;Joel Przybilla;7405300;CHO
4;Morris Peterson;6665000;CHO
5;Tyrus Thomas;6611570;CHO
6;DeSagana Diop;6478600;CHO
7;Matt Carroll;4300000;CHO
8;Shaun Livingston;3500000;CHO
9;Eduardo Najera;3000000;CHO
10;D.J. Augustin;2540400;CHO
11;Gerald Henderson;2103840;CHO
12;Sean Marks;1264687;CHO
13;Kwame Brown;1229255;CHO
14;D.J. White;1108680;CHO
15;Dominic McGuire;884120;CHO
16;Derrick Brown;762195;CHO
17;Dante Cunningham;762195;CHO
18;Sherron Collins;473604;CHO
1;Carlos Boozer;14400000;CHI
2;Luol Deng;11345000;CHI
3;Derrick Rose;5546160;CHI
4;Kyle Korver;5000000;CHI
5;Ronnie Brewer;4790000;CHI
6;Joakim Noah;3128536;CHI
7;C.J. Watson;3100000;CHI
8;Omer Asik;1721000;CHI
9;Keith Bogans;1600000;CHI
10;Kurt Thomas;1352181;CHI
11;Brian Scalabrine;1229255;CHI
12;Taj Gibson;1117680;CHI
13;John Lucas;208264;CHI
1;Antawn Jamison;13358905;CLE
2;Baron Davis;13000000;CLE
3;Anderson Varejao;7281818;CLE
4;Daniel Gibson;4015334;CLE
5;Ramon Sessions;3964320;CLE
6;Anthony Parker;2855700;CLE
7;Ryan Hollins;2333333;CLE
8;J.J. Hickson;1528920;CLE
9;Christian Eyenga;1020960;CLE
10;Joey Graham;992680;CLE
11;Leon Powe;915852;CLE
12;Samardo Samuels;500000;CLE
13;Alonzo Gee;479735;CLE
14;Semih Erden;473604;CLE
15;Luke Harangody;473604;CLE
16;Manny Harris;473604;CLE
