Rk;Player;Salary;Team
1;Joe Johnson;18038573;ATL
2;Josh Smith;12400000;ATL
3;Al Horford;12000000;ATL
4;Kirk Hinrich;8100000;ATL
5;Marvin Williams;7500000;ATL
6;Zaza Pachulia;4750000;ATL
7;Jeff Teague;1579920;ATL
8;Jerry Stackhouse;1352181;ATL
9;Vladimir Radmanovic;1352181;ATL
10;Tracy McGrady;1352181;ATL
11;Jason Collins;1352181;ATL
12;Willie Green;1223166;ATL
13;Jannero Pargo;1223166;ATL
14;Erick Dampier;850522;ATL
15;Ivan Johnson;473604;ATL
16;Donald Sloan;122237;ATL
1;Kevin Garnett;21247044;BOS
2;Paul Pierce;15333334;BOS
3;Rajon Rondo;10045455;BOS
4;Ray Allen;10000000;BOS
5;Jermaine ONeal;6226200;BOS
6;Brandon Bass;4250000;BOS
7;Chris Wilcox;3000000;BOS
8;Keyon Dooling;2246400;BOS
9;Avery Bradley;1524480;BOS
10;Marquis Daniels;1223166;BOS
11;Sasha Pavlovic;1223166;BOS
12;Mickael Pietrus;1223166;BOS
13;JaJuan Johnson;1042320;BOS
14;Greg Stiemsma;762195;BOS
15;ETwaun Moore;473604;BOS
1;Deron Williams;16359805;BRK
2;Mehmet Okur;10890000;BRK
3;Kris Humphries;8000000;BRK
4;Travis Outlaw;4000000;BRK
5;Anthony Morrow;4000000;BRK
6;Jordan Farmar;4000000;BRK
7;Johan Petro;3250000;BRK
8;Brook Lopez;3076983;BRK
9;Shawne Williams;3000000;BRK
10;DeShawn Stevenson;2500000;BRK
11;Damion James;1243080;BRK
12;MarShon Brooks;1110120;BRK
13;Shelden Williams;992680;BRK
14;Sundiata Gaines;854389;BRK
15;Keith Bogans;848266;BRK
16;Jordan Williams;473604;BRK
17;Gerald Green;443181;BRK
18;Dennis Horner;91642;BRK
19;Larry Owens;86052;BRK
20;Andre Emmett;61433;BRK
1;Corey Maggette;10262069;CHO
2;Boris Diaw;9000000;CHO
3;Tyrus Thomas;7305765;CHO
4;DeSagana Diop;6925400;CHO
5;Matt Carroll;3900000;CHO
6;D.J. Augustin;3236470;CHO
7;Bismack Biyombo;2798040;CHO
8;Eduardo Najera;2750000;CHO
9;Reggie Williams;2500000;CHO
10;Kemba Walker;2356320;CHO
11;Gerald Henderson;2250600;CHO
12;D.J. White;2001167;CHO
13;Byron Mullens;1288200;CHO
14;Derrick Brown;854389;CHO
15;Cory Higgins;473604;CHO
1;Carlos Boozer;13500000;CHI
2;Luol Deng;12325000;CHI
3;Joakim Noah;12000000;CHI
