"sport";"country";"name_ligue";"name_ligue2";"season_finalyear";"gender";"campeao";"rounds";"link";"X";"erro";"quant_jogos";"quant_equipes";"id";"jogos.canc"
"soccer";"Albania";"Super League";"super-league";2007;"men";"KF Tirana";33;"http://www.betexplorer.com/soccer/albania/super-league-2006-2007/results/";"";"nao";198;12;"soccer_Albania_men_2007";0
"soccer";"Albania";"Super League";"super-league";2008;"men";"Dinamo Tirana";33;"http://www.betexplorer.com/soccer/albania/super-league-2007-2008/results/";"";"nao";198;12;"soccer_Albania_men_2008";0
"soccer";"Albania";"Super League";"super-league";2009;"men";"KF Tirana";33;"http://www.betexplorer.com/soccer/albania/super-league-2008-2009/results/";"";"nao";198;12;"soccer_Albania_men_2009";0
"soccer";"Albania";"Super League";"super-league";2010;"men";"Dinamo Tirana";33;"http://www.betexplorer.com/soccer/albania/super-league-2009-2010/results/";"";"nao";198;12;"soccer_Albania_men_2010";0
"soccer";"Albania";"Super League";"super-league";2011;"men";"Skenderbeu";33;"http://www.betexplorer.com/soccer/albania/super-league-2010-2011/results/";"";"nao";197;12;"soccer_Albania_men_2011";0
"soccer";"Albania";"Super League";"super-league";2012;"men";"Skenderbeu";26;"http://www.betexplorer.com/soccer/albania/super-league-2011-2012/results/";"";"nao";182;14;"soccer_Albania_men_2012";0
"soccer";"Albania";"Super League";"super-league";2013;"men";"Skenderbeu";26;"http://www.betexplorer.com/soccer/albania/super-league-2012-2013/results/";"";"nao";182;14;"soccer_Albania_men_2013";0
"soccer";"Albania";"Super League";"super-league";2014;"men";"Skenderbeu";33;"http://www.betexplorer.com/soccer/albania/super-league-2013-2014/results/";"AWA.";"nao";198;12;"soccer_Albania_men_2014";0
"soccer";"Albania";"Super League";"super-league";2015;"men";"Skenderbeu";36;"http://www.betexplorer.com/soccer/albania/super-league-2014-2015/results/";"";"nao";180;10;"soccer_Albania_men_2015";0
"soccer";"Albania";"Super League";"super-league";2016;"men";"Skenderbeu";36;"http://www.betexplorer.com/soccer/albania/super-league-2015-2016/results/";"";"nao";180;10;"soccer_Albania_men_2016";0
"soccer";"Algeria";"Division 1";"division1";2007;"men";"ES Setif";NA;"http://www.betexplorer.com/soccer/algeria/division-1-2006-2007/results/";"";"nao";240;16;"soccer_Algeria_men_2007";0
"soccer";"Algeria";"Division 1";"division1";2008;"men";"Kabylie";NA;"http://www.betexplorer.com/soccer/algeria/division-1-2007-2008/results/";"";"nao";240;16;"soccer_Algeria_men_2008";0
"soccer";"Algeria";"Division 1";"division1";2009;"men";"ES Setif";NA;"http://www.betexplorer.com/soccer/algeria/division-1-2008-2009/results/";"";"nao";272;17;"soccer_Algeria_men_2009";0
"soccer";"Algeria";"Division 1";"division1";2010;"men";"MC Alger";34;"http://www.betexplorer.com/soccer/algeria/division-1-2009-2010/results/";"";"nao";306;18;"soccer_Algeria_men_2010";0
"soccer";"Algeria";"Division 1";"division1";2011;"men";"ASO Chlef";30;"http://www.betexplorer.com/soccer/algeria/division-1-2010-2011/results/";"";"nao";240;16;"soccer_Algeria_men_2011";0
"soccer";"Algeria";"Division 1";"division1";2012;"men";"ES Setif";30;"http://www.betexplorer.com/soccer/algeria/division-1-2011-2012/results/";"";"nao";240;16;"soccer_Algeria_men_2012";0
"soccer";"Algeria";"Division 1";"division1";2013;"men";"ES Setif";30;"http://www.betexplorer.com/soccer/algeria/division-1-2012-2013/results/";"";"nao";240;16;"soccer_Algeria_men_2013";0
"soccer";"Algeria";"Division 1";"division1";2014;"men";"USM Alger";30;"http://www.betexplorer.com/soccer/algeria/division-1-2013-2014/results/";"";"nao";240;16;"soccer_Algeria_men_2014";0
"soccer";"Algeria";"Division 1";"division1";2015;"men";"ES Setif";30;"http://www.betexplorer.com/soccer/algeria/division-1-2014-2015/results/";"";"nao";240;16;"soccer_Algeria_men_2015";0
"soccer";"Algeria";"Division 1";"division1";2016;"men";"USM Alger";30;"http://www.betexplorer.com/soccer/algeria/division-1-2015-2016/results/";"";"nao";240;16;"soccer_Algeria_men_2016";0
"soccer";"Andorra";"Primera Divisió ";"primera-divisio";2007;"men";"FC Rangers";14;"http://www.betexplorer.com/soccer/andorra/primera-divisio-2006-2007/results/?stage=xUO7zQr7";"";"nao";56;8;"soccer_Andorra_men_2007";0
"soccer";"Andorra";"Primera Divisió ";"primera-divisio";2008;"men";"FC Santa Coloma";14;"http://www.betexplorer.com/soccer/andorra/primera-divisio-2007-2008/results/?stage=2guvBmjK";"";"nao";56;8;"soccer_Andorra_men_2008";0
"soccer";"Andorra";"Primera Divisió ";"primera-divisio";2009;"men";"Sant Julia";14;"http://www.betexplorer.com/soccer/andorra/primera-divisio-2008-2009/results/?stage=YoBz6oTm";"";"nao";56;8;"soccer_Andorra_men_2009";0
"soccer";"Andorra";"Primera Divisió ";"primera-divisio";2010;"men";"FC Santa Coloma";14;"http://www.betexplorer.com/soccer/andorra/primera-divisio-2009-2010/results/?stage=jTnSGqD6";"";"nao";56;8;"soccer_Andorra_men_2010";0
"soccer";"Andorra";"Primera Divisió ";"primera-divisio";2011;"men";"Sant Julia";14;"http://www.betexplorer.com/soccer/andorra/primera-divisio-2010-2011/results/?stage=rBmmu7KJ";"";"nao";56;8;"soccer_Andorra_men_2011";0
"soccer";"Andorra";"Primera Divisió ";"primera-divisio";2012;"men";"FC Santa Coloma";14;"http://www.betexplorer.com/soccer/andorra/primera-divisio-2011-2012/results/?stage=x6HSPAhF";"";"nao";56;8;"soccer_Andorra_men_2012";0
"soccer";"Andorra";"Primera Divisió ";"primera-divisio";2013;"men";"Lusitanos";14;"http://www.betexplorer.com/soccer/andorra/primera-divisio-2012-2013/results/?stage=bizQrrCU";"AWA.";"nao";56;8;"soccer_Andorra_men_2013";0
