Sport,Country,League Name,Year,Gender,Champion,Number of Games,Number of Teams,Coeficiente Phi,Quantidade de equipes retiradas,Perc. Equipes Retiradas,Equipes Retiradas
soccer,Albania,Super League,2007,men,KF Tirana,198,12,0.7696,4,33.33%,"+KF Tirana,+Teuta,+Vllaznia,+Partizani"
soccer,Albania,Super League,2008,men,Dinamo Tirana,198,12,0.7880,3,25.00%,"-Skenderbeu,+Dinamo Tirana,+Partizani"
soccer,Albania,Super League,2009,men,KF Tirana,198,12,0.6098,1,8.33%,+KF Tirana
soccer,Albania,Super League,2010,men,Dinamo Tirana,198,12,0.3014,0,0.00%,-
soccer,Albania,Super League,2011,men,Skenderbeu,197,12,0.7883,2,16.67%,"-Elbasani,+Skenderbeu"
soccer,Albania,Super League,2012,men,Skenderbeu,182,14,0.7664,4,28.57%,"+Skenderbeu,+KF Tirana,+Teuta,-Dinamo Tirana"
soccer,Albania,Super League,2013,men,Skenderbeu,182,14,0.7736,4,28.57%,"-Apolonia Fier,-Luftetari Gjirokastra,-Berat,+Skenderbeu"
soccer,Albania,Super League,2014,men,Skenderbeu,198,12,0.6828,2,16.67%,"-Bylis,-Lushnja"
soccer,Albania,Super League,2015,men,Skenderbeu,180,10,0.8946,5,50.00%,"-Elbasani,-Apolonia Fier,-Teuta,-Flamurtari,-Vllaznia"
soccer,Albania,Super League,2016,men,Skenderbeu,180,10,0.8472,4,40.00%,"-Terbuni,+Skenderbeu,+Partizani,+Kukesi"
soccer,Algeria,Division 1,2007,men,ES Setif,240,16,0.3697,0,0.00%,-
soccer,Algeria,Division 1,2008,men,Kabylie,240,16,0.0482,0,0.00%,-
soccer,Algeria,Division 1,2009,men,ES Setif,272,17,0.5903,1,5.88%,-RC Kouba
soccer,Algeria,Division 1,2010,men,MC Alger,306,18,0.6669,2,11.11%,"-Hussein Dey,-MSP Batna"
soccer,Algeria,Division 1,2011,men,ASO Chlef,240,16,0.4780,1,6.25%,+ASO Chlef
soccer,Algeria,Division 1,2012,men,ES Setif,240,16,0.4889,1,6.25%,-Saida
soccer,Algeria,Division 1,2013,men,ES Setif,240,16,0.6809,3,18.75%,"-Bel Abbes,-Tlemcen,-Batna"
soccer,Algeria,Division 1,2014,men,USM Alger,240,16,0.7121,3,18.75%,"+USM Alger,-Bordj Bou Arreridj,-Ain Fakroun"
soccer,Algeria,Division 1,2015,men,ES Setif,240,16,-1.9311,7,43.75%,"-Bel Abbes,+ES Setif,-ASO Chlef,+Harrach,+MO Bejaia,-Arba,+CR Belouizdad"
soccer,Algeria,Division 1,2016,men,USM Alger,240,16,0.6077,1,6.25%,-ASM Oran
soccer,Andorra,Primera División,2007,men,FC Rangers,56,8,0.8280,3,37.50%,"+FC Rangers,+FC Santa Coloma,+Sant Julia"
soccer,Andorra,Primera División,2008,men,FC Santa Coloma,56,8,0.8388,4,50.00%,"-Casa Benfica,-Inter Club Escaldes,-UE Engordany,-Principat"
soccer,Andorra,Primera División,2009,men,Sant Julia,56,8,0.8159,3,37.50%,"-FC Rangers,-Inter Club Escaldes,-UE Engordany"
soccer,Andorra,Primera División,2010,men,FC Santa Coloma,56,8,0.8293,3,37.50%,"-Inter Club Escaldes,-UE Engordany,-Encamp"
soccer,Andorra,Primera División,2011,men,Sant Julia,56,8,0.8372,4,50.00%,"-Encamp,-Casa Benfica,-Inter Club Escaldes,-Principat"
soccer,Andorra,Primera División,2012,men,FC Santa Coloma,56,8,0.8046,3,37.50%,"-FC Rangers,-Principat,-UE Engordany"
soccer,Andorra,Primera División,2013,men,Lusitanos,56,8,0.8066,3,37.50%,"-Inter Club Escaldes,-UE Engordany,-Encamp"
soccer,Andorra,Primera División,2015,men,FC Santa Coloma,56,8,0.7828,2,25.00%,"-Inter Club Escaldes,-UE Engordany"
soccer,Andorra,Primera División,2016,men,FC Santa Coloma,56,8,0.7749,2,25.00%,"+FC Santa Coloma,-Penya"
soccer,Angola,Girabola,2011,men,C.R.D. Libolo,240,16,0.6316,2,12.50%,"-Academica,+Kabuscorp"
soccer,Angola,Girabola,2012,men,C.R.D. Libolo,240,16,0.7038,3,18.75%,"+C-R-D- Libolo,+Primeiro de Agosto,-Nacional de Benguela"
soccer,Angola,Girabola,2013,men,Kabuscorp,240,16,0.7076,2,12.50%,"+Kabuscorp,+Primeiro de Agosto"
soccer,Angola,Girabola,2014,men,C.R.D. Libolo,240,16,0.7440,3,18.75%,"+C-R-D- Libolo,+Kabuscorp,+Primeiro de Agosto"
soccer,Angola,Girabola,2015,men,C.R.D. Libolo,240,16,0.6343,2,12.50%,"-Domant,+C-R-D- Libolo"
soccer,Angola,Girabola,2016,men,Primeiro de Agosto,240,16,0.7161,3,18.75%,"+Primeiro de Agosto,+Petro Atletico,+C-R-D- Libolo"
soccer,Armenia,Premier League,2007,men,Pyunik Yerevan,112,8,0.8140,1,12.50%,-Kilikia Yerevan
soccer,Armenia,Premier League,2008,men,Pyunik Yerevan,112,8,0.8441,2,25.00%,"-Kilikia Yerevan,-Shirak Gyumri"
soccer,Armenia,Premier League,2009,men,Pyunik Yerevan,112,8,0.8568,4,50.00%,"+Pyunik Yerevan,-Ararat Yerevan,-Kilikia Yerevan,-Shirak Gyumri"
soccer,Armenia,Premier League,2010,men,Pyunik Yerevan,112,8,0.8804,3,37.50%,"-Shirak Gyumri,-Kilikia Yerevan,-Gandzasar"
soccer,Armenia,Premier League,2011,men,Ulisses Yerevan,112,8,0.7659,1,12.50%,-Ararat Yerevan
soccer,Armenia,Premier League,2013,men,Shirak Gyumri,168,8,0.8326,2,25.00%,"+Shirak Gyumri,-Banants Yerevan"
soccer,Armenia,Premier League,2014,men,Banants Yerevan,112,8,0.5746,1,12.50%,-Alashkert
soccer,Armenia,Premier League,2015,men,Pyunik Yerevan,112,8,0.7842,2,25.00%,"-Ararat Yerevan,+Pyunik Yerevan"
soccer,Armenia,Premier League,2016,men,Alashkert,112,8,0.8375,1,12.50%,-Ulisses Yerevan
soccer,Australia,A-League,2007,men,Melbourne Victory,84,8,0.4838,0,0.00%,-
soccer,Australia,A-League,2008,men,Central Coast Mariners,84,8,0.0066,0,0.00%,-
soccer,Australia,A-League,2009,men,Melbourne Victory,84,8,0.4208,0,0.00%,-
soccer,Australia,A-League,2010,men,Sydney FC,135,10,0.1648,0,0.00%,-
